role,favorites,voice_actors,character.mal_id,character.url,character.images.jpg.image_url,character.images.webp.image_url,character.images.webp.small_image_url,character.name
Main,29982,"[{'person': {'mal_id': 557, 'url': 'https://myanimelist.net/people/557/Masako_Nozawa', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/77340.jpg?s=2e78abe7d4d8d4fe06bc2e8bfb87fc0e'}}, 'name': 'Nozawa, Masako'}, 'language': 'Japanese'}, {'person': {'mal_id': 472, 'url': 'https://myanimelist.net/people/472/Colleen_Clinkenbeard', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/30191.jpg?s=ae2728aa271ed956b5a0b72e7a047cbc'}}, 'name': 'Clinkenbeard, Colleen'}, 'language': 'English'}, {'person': {'mal_id': 1000, 'url': 'https://myanimelist.net/people/1000/Sean_Schemmel', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/42833.jpg?s=4333bd5e0eeb42a25b312aec15072e4c'}}, 'name': 'Schemmel, Sean'}, 'language': 'English'}, {'person': {'mal_id': 180, 'url': 'https://myanimelist.net/people/180/Lex_Lang', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/28305.jpg?s=02832679e4cc67f6ea16e57a428dcb21'}}, 'name': 'Lang, Lex'}, 'language': 'English'}, {'person': {'mal_id': 39328, 'url': 'https://myanimelist.net/people/39328/Patrick_Borg', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/67475.jpg?s=ad2f54851db7574a6ee173648bb18eb4'}}, 'name': 'Borg, Patrick'}, 'language': 'French'}, {'person': {'mal_id': 1461, 'url': 'https://myanimelist.net/people/1461/Mario_Castañeda', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/69406.jpg?s=7fde89d7af43679e48098a912c4ee467'}}, 'name': 'Castañeda, Mario'}, 'language': 'Spanish'}, {'person': {'mal_id': 1830, 'url': 'https://myanimelist.net/people/1830/Wendel_Bezerra', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/75915.jpg?s=316e3918010e01a30c5754942cde27b9'}}, 'name': 'Bezerra, Wendel'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 1289, 'url': 'https://myanimelist.net/people/1289/Claudio_Moneta', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/37157.jpg?s=37ac121dd5f6b4265263f43015e3be40'}}, 'name': 'Moneta, Claudio'}, 'language': 'Italian'}, {'person': {'mal_id': 8241, 'url': 'https://myanimelist.net/people/8241/Úrsula_Bezerra', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/61222.jpg?s=56480c6e6283f5833eac72fa85e280f9'}}, 'name': 'Bezerra, Úrsula'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 5682, 'url': 'https://myanimelist.net/people/5682/Laura_Torres', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/27459.jpg?s=75949c01cc9ff34aef85f23a271bbab5'}}, 'name': 'Torres, Laura'}, 'language': 'Spanish'}, {'person': {'mal_id': 40200, 'url': 'https://myanimelist.net/people/40200/Stefan_Bräuler', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/41158.jpg?s=a6dbd4d3b308022259f1df9eeac42e90'}}, 'name': 'Bräuler, Stefan'}, 'language': 'German'}, {'person': {'mal_id': 46859, 'url': 'https://myanimelist.net/people/46859/Pablo_Domínguez', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/50634.jpg?s=62712c71d5bc89040e867e1066a5caf8'}}, 'name': 'Domínguez, Pablo'}, 'language': 'Spanish'}, {'person': {'mal_id': 406, 'url': 'https://myanimelist.net/people/406/Philece_Sampler', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/40070.jpg?s=dbbede0acf7082d5c715bbd8703c2ca0'}}, 'name': 'Sampler, Philece'}, 'language': 'English'}, {'person': {'mal_id': 7798, 'url': 'https://myanimelist.net/people/7798/László_Lippai', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/5053.jpg?s=7e72bfb86fc29b38368d2a14e43afc17'}}, 'name': 'Lippai, László'}, 'language': 'Hungarian'}, {'person': {'mal_id': 6499, 'url': 'https://myanimelist.net/people/6499/Yeong_Seon_Kim', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/3397.jpg?s=71b6163ba268592e939307c4e235beee'}}, 'name': 'Kim, Yeong Seon'}, 'language': 'Korean'}, {'person': {'mal_id': 43077, 'url': 'https://myanimelist.net/people/43077/Henrique_Feist', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/46741.jpg?s=3b9f0663cd9c6a33fab6b1d8eb77235a'}}, 'name': 'Feist, Henrique'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 63161, 'url': 'https://myanimelist.net/people/63161/Avraham_Meir_Vanunu', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/68448.jpg?s=dda9297ac611a4bb2c1723b60655d11a'}}, 'name': 'Meir Vanunu, Avraham'}, 'language': 'Hebrew'}]",246,https://myanimelist.net/character/246/Gokuu_Son,https://cdn.myanimelist.net/images/characters/15/72546.jpg?s=c434a442d8ad1212885a8d02dbcbbee0,https://cdn.myanimelist.net/images/characters/15/72546.webp?s=c434a442d8ad1212885a8d02dbcbbee0,https://cdn.myanimelist.net/images/characters/15/72546t.webp?s=c434a442d8ad1212885a8d02dbcbbee0,"Son, Gokuu"
Main,21124,"[{'person': {'mal_id': 518, 'url': 'https://myanimelist.net/people/518/Ryo_Horikawa', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/63540.jpg?s=4c43ddaf76aaa0d34205a2411096f13c'}}, 'name': 'Horikawa, Ryo'}, 'language': 'Japanese'}, {'person': {'mal_id': 253, 'url': 'https://myanimelist.net/people/253/Christopher_Sabat', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/42874.jpg?s=aef91fd9132c86444be351f412b0cfeb'}}, 'name': 'Sabat, Christopher'}, 'language': 'English'}, {'person': {'mal_id': 11970, 'url': 'https://myanimelist.net/people/11970/Ami_Mendelman', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/11246.jpg?s=744c2a1513243ffd302809e5086fe736'}}, 'name': 'Mendelman, Ami'}, 'language': 'Hebrew'}, {'person': {'mal_id': 8491, 'url': 'https://myanimelist.net/people/8491/Kaiji_Tang', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/80557.jpg?s=9d3c976552d057e1d913616c118983c6'}}, 'name': 'Tang, Kaiji'}, 'language': 'English'}, {'person': {'mal_id': 1150, 'url': 'https://myanimelist.net/people/1150/Eric_Legrand', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/30181.jpg?s=d5dd30d9e92386e9f8d26770b8ccb838'}}, 'name': 'Legrand, Eric'}, 'language': 'French'}, {'person': {'mal_id': 1087, 'url': 'https://myanimelist.net/people/1087/Gianluca_Iacono', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/37125.jpg?s=3a1e02f697e98262309bca2797d0575e'}}, 'name': 'Iacono, Gianluca'}, 'language': 'Italian'}, {'person': {'mal_id': 1698, 'url': 'https://myanimelist.net/people/1698/René_García', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/69407.jpg?s=51707e9cb717cf2dbd46b261f5ab5f0c'}}, 'name': 'García, René'}, 'language': 'Spanish'}, {'person': {'mal_id': 7350, 'url': 'https://myanimelist.net/people/7350/Alfredo_Rollo', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/79734.jpg?s=9de7362478bc71a1eadbf32f7d249737'}}, 'name': 'Rollo, Alfredo'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 46008, 'url': 'https://myanimelist.net/people/46008/Ma_Zink', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/75283.jpg?s=c0d6eb2cf256f863d329beb4b43ad502'}}, 'name': 'Zink, Ma'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 22921, 'url': 'https://myanimelist.net/people/22921/Florian_Hoffmann', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/26301.jpg?s=41a461909be9dc569e78d0acbd78289f'}}, 'name': 'Hoffmann, Florian'}, 'language': 'German'}, {'person': {'mal_id': 37957, 'url': 'https://myanimelist.net/people/37957/Justin_Briner', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/80498.jpg?s=9a32ee02710cc4c72006b683add1c312'}}, 'name': 'Briner, Justin'}, 'language': 'English'}, {'person': {'mal_id': 46818, 'url': 'https://myanimelist.net/people/46818/Alberto_Hidalgo', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/50611.jpg?s=3465f2d57eabc011d155724dd1b8f813'}}, 'name': 'Hidalgo, Alberto'}, 'language': 'Spanish'}, {'person': {'mal_id': 7769, 'url': 'https://myanimelist.net/people/7769/Roland_Czető', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/5026.jpg?s=4f59f87ae59696867902174412477773'}}, 'name': 'Czető, Roland'}, 'language': 'Hungarian'}, {'person': {'mal_id': 43723, 'url': 'https://myanimelist.net/people/43723/João_Loy', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/47113.jpg?s=feae1bb33be3f2958c0f6a487dfcccff'}}, 'name': 'Loy, João'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 85639, 'url': 'https://myanimelist.net/people/85639/Paco_Prieto', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/85386.jpg?s=64e9e78aa21e52d8e4e696faf728700b'}}, 'name': 'Prieto, Paco'}, 'language': 'Spanish'}, {'person': {'mal_id': 14819, 'url': 'https://myanimelist.net/people/14819/Seung_jun_Kim', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/15759.jpg?s=9338f6a3db14b2e031e5f2c2681ccbd4'}}, 'name': 'Kim, Seung jun'}, 'language': 'Korean'}]",913,https://myanimelist.net/character/913/Vegeta,https://cdn.myanimelist.net/images/characters/14/86185.jpg?s=145f25d852734f70db55a92cab54b27b,https://cdn.myanimelist.net/images/characters/14/86185.webp?s=145f25d852734f70db55a92cab54b27b,https://cdn.myanimelist.net/images/characters/14/86185t.webp?s=145f25d852734f70db55a92cab54b27b,Vegeta
Supporting,3,"[{'person': {'mal_id': 77, 'url': 'https://myanimelist.net/people/77/Masumi_Asano', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/57708.jpg?s=14507772a7d4efb4741e0fbd7eedfafd'}}, 'name': 'Asano, Masumi'}, 'language': 'Japanese'}, {'person': {'mal_id': 30379, 'url': 'https://myanimelist.net/people/30379/Bryn_Apprill', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/40982.jpg?s=bb21d44d2c56d482fc1b20c14057499e'}}, 'name': 'Apprill, Bryn'}, 'language': 'English'}, {'person': {'mal_id': 52907, 'url': 'https://myanimelist.net/people/52907/Mariana_Evangelista', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/80655.jpg?s=1119dc06bfe1bb614a9530fda5b13504'}}, 'name': 'Evangelista, Mariana'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 59218, 'url': 'https://myanimelist.net/people/59218/Andrea_Arruti', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/70077.jpg?s=19cf1583d5d2caa66227106cb8c3f525'}}, 'name': 'Arruti, Andrea'}, 'language': 'Spanish'}, {'person': {'mal_id': 30739, 'url': 'https://myanimelist.net/people/30739/Marie_Giraudon', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/67478.jpg?s=6bb457aaa9d4318c6d130d0daf0216ad'}}, 'name': 'Giraudon, Marie'}, 'language': 'French'}, {'person': {'mal_id': 35383, 'url': 'https://myanimelist.net/people/35383/Valentina_Pallavicino', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/36819.jpg?s=1f93482483e04ec21b6608c471a0c485'}}, 'name': 'Pallavicino, Valentina'}, 'language': 'Italian'}]",149345,https://myanimelist.net/character/149345/Cocoa_Amaguri,https://cdn.myanimelist.net/images/characters/6/358892.jpg?s=d35cc04b0c255b8115dde0eb4c8134bd,https://cdn.myanimelist.net/images/characters/6/358892.webp?s=d35cc04b0c255b8115dde0eb4c8134bd,https://cdn.myanimelist.net/images/characters/6/358892t.webp?s=d35cc04b0c255b8115dde0eb4c8134bd,"Amaguri, Cocoa"
Supporting,1,"[{'person': {'mal_id': 6506, 'url': 'https://myanimelist.net/people/6506/Yuusei_Oda', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/5206.jpg?s=de32e0b014809123b6dabe194f60422b'}}, 'name': 'Oda, Yuusei'}, 'language': 'Japanese'}, {'person': {'mal_id': 8060, 'url': 'https://myanimelist.net/people/8060/Chris_Burnett', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/23823.jpg?s=367d5b5ea58455617bc31dfdee4f2a55'}}, 'name': 'Burnett, Chris'}, 'language': 'English'}, {'person': {'mal_id': 34839, 'url': 'https://myanimelist.net/people/34839/Michel_Di_Fiori', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/67557.jpg?s=d8c241f28c3e17b5aca077483b1bd4b8'}}, 'name': 'Di Fiori, Michel'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 52960, 'url': 'https://myanimelist.net/people/52960/Thiago_Córdova', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/85358.jpg?s=f57ecefc66da2b2ae81fa7e1ac0a339e'}}, 'name': 'Córdova, Thiago'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 52954, 'url': 'https://myanimelist.net/people/52954/Rodolfo_Novaes', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/77077.jpg?s=3f6b09de57095c4bdc79b99f9a8da2dd'}}, 'name': 'Novaes, Rodolfo'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 21839, 'url': 'https://myanimelist.net/people/21839/Miguel_Ángel_Ruiz', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/78291.jpg?s=a7ec03120b4afe6610f702c0daddc8a6'}}, 'name': 'Ruiz, Miguel Ángel'}, 'language': 'Spanish'}, {'person': {'mal_id': 9882, 'url': 'https://myanimelist.net/people/9882/Benjamin_Pascal', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/71252.jpg?s=7a8455456d186cf2cce7119bd3d7c414'}}, 'name': 'Pascal, Benjamin'}, 'language': 'French'}, {'person': {'mal_id': 57178, 'url': 'https://myanimelist.net/people/57178/Daniel_Magni', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/70202.jpg?s=3fb1685bd961517e212691939aa0fb48'}}, 'name': 'Magni, Daniel'}, 'language': 'Italian'}]",163376,https://myanimelist.net/character/163376/Anat,https://cdn.myanimelist.net/images/characters/9/361030.jpg?s=bf997735c198ac87bb8734798f1e2512,https://cdn.myanimelist.net/images/characters/9/361030.webp?s=bf997735c198ac87bb8734798f1e2512,https://cdn.myanimelist.net/images/characters/9/361030t.webp?s=bf997735c198ac87bb8734798f1e2512,Anat
Supporting,1,"[{'person': {'mal_id': 1481, 'url': 'https://myanimelist.net/people/1481/Hisao_Egawa', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/32537.jpg?s=e0ebf6e0447e917faf5ae8e5b4e79b82'}}, 'name': 'Egawa, Hisao'}, 'language': 'Japanese'}, {'person': {'mal_id': 610, 'url': 'https://myanimelist.net/people/610/Christopher_Bevins', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/47200.jpg?s=22329a1ab687b1fcfaf43fceb7dd1d32'}}, 'name': 'Bevins, Christopher'}, 'language': 'English'}, {'person': {'mal_id': 43858, 'url': 'https://myanimelist.net/people/43858/Renan_Gonçalves', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/59500.jpg?s=3eebd7ba8c5b621572131706ecc68032'}}, 'name': 'Gonçalves, Renan'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 57480, 'url': 'https://myanimelist.net/people/57480/Héctor_Estrada', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/68970.jpg?s=38b881bf7f453cdc168025b6b8ea03af'}}, 'name': 'Estrada, Héctor'}, 'language': 'Spanish'}]",167792,https://myanimelist.net/character/167792/Anilaza,https://cdn.myanimelist.net/images/characters/5/372209.jpg?s=14bff4812a229eb79897f1c24d077905,https://cdn.myanimelist.net/images/characters/5/372209.webp?s=14bff4812a229eb79897f1c24d077905,https://cdn.myanimelist.net/images/characters/5/372209t.webp?s=14bff4812a229eb79897f1c24d077905,Anilaza
Supporting,1,"[{'person': {'mal_id': 12705, 'url': 'https://myanimelist.net/people/12705/Taishi_Murata', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/71357.jpg?s=5b145425b3bfb8d5f24acc659c152f25'}}, 'name': 'Murata, Taishi'}, 'language': 'Japanese'}, {'person': {'mal_id': 5361, 'url': 'https://myanimelist.net/people/5361/Orion_Pitts', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/23483.jpg?s=eecbf2a96b038ab80d234e3e828fa418'}}, 'name': 'Pitts, Orion'}, 'language': 'English'}, {'person': {'mal_id': 40374, 'url': 'https://myanimelist.net/people/40374/Hélio_Vaccari', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/42495.jpg?s=464cb888a485224e64301f5965e95f14'}}, 'name': 'Vaccari, Hélio'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 59214, 'url': 'https://myanimelist.net/people/59214/Jesse_Conde', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/69913.jpg?s=03f448f2af4a6bb42a34ecfaac57916f'}}, 'name': 'Conde, Jesse'}, 'language': 'Spanish'}, {'person': {'mal_id': 10572, 'url': 'https://myanimelist.net/people/10572/Luca_Sandri', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/9075.jpg?s=c24a4869af2b93e464cfd613734879f7'}}, 'name': 'Sandri, Luca'}, 'language': 'Italian'}]",154826,https://myanimelist.net/character/154826/Arack,https://cdn.myanimelist.net/images/characters/15/357388.jpg?s=bf6ff7edca3f6fb36f94eea464a57656,https://cdn.myanimelist.net/images/characters/15/357388.webp?s=bf6ff7edca3f6fb36f94eea464a57656,https://cdn.myanimelist.net/images/characters/15/357388t.webp?s=bf6ff7edca3f6fb36f94eea464a57656,Arack
Supporting,0,"[{'person': {'mal_id': 52960, 'url': 'https://myanimelist.net/people/52960/Thiago_Córdova', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/85358.jpg?s=f57ecefc66da2b2ae81fa7e1ac0a339e'}}, 'name': 'Córdova, Thiago'}, 'language': 'Portuguese (BR)'}]",154835,https://myanimelist.net/character/154835/Awamo,https://cdn.myanimelist.net/images/characters/10/357379.jpg?s=4e6fb94eaebd27b612cefb6003835888,https://cdn.myanimelist.net/images/characters/10/357379.webp?s=4e6fb94eaebd27b612cefb6003835888,https://cdn.myanimelist.net/images/characters/10/357379t.webp?s=4e6fb94eaebd27b612cefb6003835888,Awamo
Supporting,8,[],6130,https://myanimelist.net/character/6130/Babidi,https://cdn.myanimelist.net/images/characters/10/273651.jpg?s=590ff5cc764dec32bfe19a21966abc78,https://cdn.myanimelist.net/images/characters/10/273651.webp?s=590ff5cc764dec32bfe19a21966abc78,https://cdn.myanimelist.net/images/characters/10/273651t.webp?s=590ff5cc764dec32bfe19a21966abc78,Babidi
Supporting,1,"[{'person': {'mal_id': 285, 'url': 'https://myanimelist.net/people/285/Tsuyoshi_Koyama', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/46079.jpg?s=b28e98fba68f4fe2091920c3fb4df6c1'}}, 'name': 'Koyama, Tsuyoshi'}, 'language': 'Japanese'}, {'person': {'mal_id': 22625, 'url': 'https://myanimelist.net/people/22625/Jeff_Plunk', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/59397.jpg?s=be09145e42d919db725e86a154cb2f07'}}, 'name': 'Plunk, Jeff'}, 'language': 'English'}, {'person': {'mal_id': 52956, 'url': 'https://myanimelist.net/people/52956/Alex_Barone', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/76571.jpg?s=542d15fba60e724322a7748ac60c6c73'}}, 'name': 'Barone, Alex'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 9882, 'url': 'https://myanimelist.net/people/9882/Benjamin_Pascal', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/71252.jpg?s=7a8455456d186cf2cce7119bd3d7c414'}}, 'name': 'Pascal, Benjamin'}, 'language': 'French'}, {'person': {'mal_id': 57312, 'url': 'https://myanimelist.net/people/57312/Óscar_Rangel', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/68421.jpg?s=93aeac7c3dec38a17f7fe4f2f58a0faf'}}, 'name': 'Rangel, Óscar'}, 'language': 'Spanish'}, {'person': {'mal_id': 43063, 'url': 'https://myanimelist.net/people/43063/Maurizio_Trombini', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/questionmark_23.gif?s=f7dcbc4a4603d18356d3dfef8abd655c'}}, 'name': 'Trombini, Maurizio'}, 'language': 'Italian'}]",154010,https://myanimelist.net/character/154010/Basil,https://cdn.myanimelist.net/images/characters/16/358946.jpg?s=efe79d5ceb831008afd7d0a61faac0d5,https://cdn.myanimelist.net/images/characters/16/358946.webp?s=efe79d5ceb831008afd7d0a61faac0d5,https://cdn.myanimelist.net/images/characters/16/358946t.webp?s=efe79d5ceb831008afd7d0a61faac0d5,Basil
Supporting,3,"[{'person': {'mal_id': 328, 'url': 'https://myanimelist.net/people/328/Masami_Suzuki', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/30771.jpg?s=61e1ebc623b16ffd76e101dd353d9236'}}, 'name': 'Suzuki, Masami'}, 'language': 'Japanese'}]",2100,https://myanimelist.net/character/2100/Bee,https://cdn.myanimelist.net/images/characters/7/45213.jpg?s=2c85af9da505cfc6ba502fbf80d6387b,https://cdn.myanimelist.net/images/characters/7/45213.webp?s=2c85af9da505cfc6ba502fbf80d6387b,https://cdn.myanimelist.net/images/characters/7/45213t.webp?s=2c85af9da505cfc6ba502fbf80d6387b,Bee
