role,favorites,voice_actors,character.mal_id,character.url,character.images.jpg.image_url,character.images.webp.image_url,character.images.webp.small_image_url,character.name
Main,212,"[{'person': {'mal_id': 17215, 'url': 'https://myanimelist.net/people/17215/Atsumi_Tanezaki', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/77190.jpg?s=ed33c5d429051864f3af3fe2e64eb970'}}, 'name': 'Tanezaki, Atsumi'}, 'language': 'Japanese'}, {'person': {'mal_id': 45410, 'url': 'https://myanimelist.net/people/45410/Gabriel_Martins', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/79361.jpg?s=ef28eff7e0907a36884f8f7519ef087a'}}, 'name': 'Martins, Gabriel'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 47385, 'url': 'https://myanimelist.net/people/47385/Casey_Mongillo', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/58004.jpg?s=2dcab2efc5d9c8c7b2f303a9e055a1de'}}, 'name': 'Mongillo, Casey'}, 'language': 'English'}, {'person': {'mal_id': 56665, 'url': 'https://myanimelist.net/people/56665/Sebastiano_Tamburrini', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/questionmark_23.gif?s=f7dcbc4a4603d18356d3dfef8abd655c'}}, 'name': 'Tamburrini, Sebastiano'}, 'language': 'Italian'}, {'person': {'mal_id': 57206, 'url': 'https://myanimelist.net/people/57206/Fernanda_Robles', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/68419.jpg?s=a0711b04a3d793a412bc60e20af5080b'}}, 'name': 'Robles, Fernanda'}, 'language': 'Spanish'}, {'person': {'mal_id': 74145, 'url': 'https://myanimelist.net/people/74145/Aurore_Saint-Martin', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/81099.jpg?s=461a71f26eefaa993ffa42b1561c4f12'}}, 'name': 'Saint-Martin, Aurore'}, 'language': 'French'}]",28956,https://myanimelist.net/character/28956/Emporio_Alniño,https://cdn.myanimelist.net/images/characters/15/450314.jpg?s=641dae43d1640474026b7d15d320ea0b,https://cdn.myanimelist.net/images/characters/15/450314.webp?s=641dae43d1640474026b7d15d320ea0b,https://cdn.myanimelist.net/images/characters/15/450314t.webp?s=641dae43d1640474026b7d15d320ea0b,"Alniño, Emporio"
Main,410,"[{'person': {'mal_id': 10013, 'url': 'https://myanimelist.net/people/10013/Mutsumi_Tamura', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/84746.jpg?s=ef42b78a60007cd96f0536917b4cbc7e'}}, 'name': 'Tamura, Mutsumi'}, 'language': 'Japanese'}, {'person': {'mal_id': 1442, 'url': 'https://myanimelist.net/people/1442/Tatiane_Keplmair', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/69880.jpg?s=4fcb671dee443f2c43b0648e19d6e0e9'}}, 'name': 'Keplmair, Tatiane'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 52699, 'url': 'https://myanimelist.net/people/52699/Tiana_Camacho', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/61142.jpg?s=2d6fb9439a8a8f350b6d9949c43ada01'}}, 'name': 'Camacho, Tiana'}, 'language': 'English'}, {'person': {'mal_id': 11918, 'url': 'https://myanimelist.net/people/11918/Jenny_De_Cesarei', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/11357.jpg?s=5d3ea81bcb1465c26d61f01431e814cc'}}, 'name': 'De Cesarei, Jenny'}, 'language': 'Italian'}, {'person': {'mal_id': 57208, 'url': 'https://myanimelist.net/people/57208/Alicia_Barragán', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/69964.jpg?s=ff6ef10a839219442296002ad3b58829'}}, 'name': 'Barragán, Alicia'}, 'language': 'Spanish'}, {'person': {'mal_id': 60512, 'url': 'https://myanimelist.net/people/60512/Geni_Rey', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/70564.jpg?s=68e456f5854c33c8436297f08f7cac7e'}}, 'name': 'Rey, Geni'}, 'language': 'Spanish'}, {'person': {'mal_id': 60919, 'url': 'https://myanimelist.net/people/60919/Alice_Taurand', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/71297.jpg?s=e0fde46024c75cce0e6f43b3520ab482'}}, 'name': 'Taurand, Alice'}, 'language': 'French'}]",13369,https://myanimelist.net/character/13369/Ermes_Costello,https://cdn.myanimelist.net/images/characters/12/450313.jpg?s=bcc79017c49386d4a795cd8d7f162361,https://cdn.myanimelist.net/images/characters/12/450313.webp?s=bcc79017c49386d4a795cd8d7f162361,https://cdn.myanimelist.net/images/characters/12/450313t.webp?s=bcc79017c49386d4a795cd8d7f162361,"Costello, Ermes"
Main,1166,"[{'person': {'mal_id': 655, 'url': 'https://myanimelist.net/people/655/Mariya_Ise', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/65504.jpg?s=79bb2f4740b9c846b3c2bed12c193b4b'}}, 'name': 'Ise, Mariya'}, 'language': 'Japanese'}, {'person': {'mal_id': 44288, 'url': 'https://myanimelist.net/people/44288/Vivian_Frenchel', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/69927.jpg?s=e2d2673c5a7b1a9d4131662a14442401'}}, 'name': 'Frenchel, Vivian'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 55021, 'url': 'https://myanimelist.net/people/55021/Alice_Orsat', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/69891.jpg?s=96f5b4960298c4529cbce91008b77553'}}, 'name': 'Orsat, Alice'}, 'language': 'French'}, {'person': {'mal_id': 25719, 'url': 'https://myanimelist.net/people/25719/Brittany_Lauda', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/44450.jpg?s=50f592cad38c06139b1411f94b6e70b2'}}, 'name': 'Lauda, Brittany'}, 'language': 'English'}, {'person': {'mal_id': 56733, 'url': 'https://myanimelist.net/people/56733/Alessia_Bossari', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/questionmark_23.gif?s=f7dcbc4a4603d18356d3dfef8abd655c'}}, 'name': 'Bossari, Alessia'}, 'language': 'Italian'}, {'person': {'mal_id': 56590, 'url': 'https://myanimelist.net/people/56590/Alicia_Vélez', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/68939.jpg?s=4aea9799f7074545b06ad9c992bd32df'}}, 'name': 'Vélez, Alicia'}, 'language': 'Spanish'}, {'person': {'mal_id': 7694, 'url': 'https://myanimelist.net/people/7694/Víctor_Ugarte', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/70314.jpg?s=5b9ebe16b909e4d093e57a1d158e8586'}}, 'name': 'Ugarte, Víctor'}, 'language': 'Spanish'}]",32507,https://myanimelist.net/character/32507/Foo_Fighters,https://cdn.myanimelist.net/images/characters/13/494589.jpg?s=a33a8dc91d932f2432458b4e907efd88,https://cdn.myanimelist.net/images/characters/13/494589.webp?s=a33a8dc91d932f2432458b4e907efd88,https://cdn.myanimelist.net/images/characters/13/494589t.webp?s=a33a8dc91d932f2432458b4e907efd88,Foo Fighters
Main,8449,"[{'person': {'mal_id': 49011, 'url': 'https://myanimelist.net/people/49011/Fairouz_Ai', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/76160.jpg?s=09563ff56511cfe7ab28999b64a14c85'}}, 'name': 'Fairouz Ai'}, 'language': 'Japanese'}, {'person': {'mal_id': 52887, 'url': 'https://myanimelist.net/people/52887/Patrícia_Souza', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/67238.jpg?s=51dd91bd2dec6195ecebf29a761f7f63'}}, 'name': 'Souza, Patrícia'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 7359, 'url': 'https://myanimelist.net/people/7359/Kira_Buckland', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/49664.jpg?s=1d14b60a6af07915854aa1fad22081ac'}}, 'name': 'Buckland, Kira'}, 'language': 'English'}, {'person': {'mal_id': 35771, 'url': 'https://myanimelist.net/people/35771/Maddalena_Vadacca', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/37619.jpg?s=e328aad60d689149c1ce9d7dd97d7334'}}, 'name': 'Vadacca, Maddalena'}, 'language': 'Italian'}, {'person': {'mal_id': 44137, 'url': 'https://myanimelist.net/people/44137/Moira_May', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/81015.jpg?s=e574be5955a39962b7dac6fb109e19b3'}}, 'name': 'May, Moira'}, 'language': 'German'}, {'person': {'mal_id': 21205, 'url': 'https://myanimelist.net/people/21205/Alondra_Hidalgo', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/24137.jpg?s=237cae03dd7639541cf16b989d394912'}}, 'name': 'Hidalgo, Alondra'}, 'language': 'Spanish'}, {'person': {'mal_id': 60674, 'url': 'https://myanimelist.net/people/60674/Laure_Filiu', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/70930.jpg?s=7e0583226f271b04f8e59f5c4fabdc00'}}, 'name': 'Filiu, Laure'}, 'language': 'French'}, {'person': {'mal_id': 82413, 'url': 'https://myanimelist.net/people/82413/Lourdes_Fabrés', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/84031.jpg?s=76e1195d6bf667245cf39e4110ef2fbc'}}, 'name': 'Fabrés, Lourdes'}, 'language': 'Spanish'}]",11222,https://myanimelist.net/character/11222/Jolyne_Kuujou,https://cdn.myanimelist.net/images/characters/8/476401.jpg?s=f368c6674a0d6c994c97879058f34484,https://cdn.myanimelist.net/images/characters/8/476401.webp?s=f368c6674a0d6c994c97879058f34484,https://cdn.myanimelist.net/images/characters/8/476401t.webp?s=f368c6674a0d6c994c97879058f34484,"Kuujou, Jolyne"
Main,1857,"[{'person': {'mal_id': 1, 'url': 'https://myanimelist.net/people/1/Tomokazu_Seki', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/85360.jpg?s=b35e7489e11b54fee04fbbcbc69b2edb'}}, 'name': 'Seki, Tomokazu'}, 'language': 'Japanese'}, {'person': {'mal_id': 42633, 'url': 'https://myanimelist.net/people/42633/Massimiliano_Lotti', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/45994.jpg?s=a0549b86e15076bbdb15f095d1298572'}}, 'name': 'Lotti, Massimiliano'}, 'language': 'Italian'}, {'person': {'mal_id': 43813, 'url': 'https://myanimelist.net/people/43813/Duda_Espinoza', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/48710.jpg?s=9d5e3b5bbe612555395df6b1a9466964'}}, 'name': 'Espinoza, Duda'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 43650, 'url': 'https://myanimelist.net/people/43650/Marc_Zanni', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/48017.jpg?s=383a6164cc40f7591019b0abb23a4ee7'}}, 'name': 'Zanni, Marc'}, 'language': 'Spanish'}, {'person': {'mal_id': 55488, 'url': 'https://myanimelist.net/people/55488/Boris_Rehlinger', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/82886.jpg?s=1cb1e1ad07b766491ca9f587674a4b0b'}}, 'name': 'Rehlinger, Boris'}, 'language': 'French'}, {'person': {'mal_id': 29977, 'url': 'https://myanimelist.net/people/29977/Óscar_Flores', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/69909.jpg?s=961a81d9d01cfe155092dbc10bf35db4'}}, 'name': 'Flores, Óscar'}, 'language': 'Spanish'}, {'person': {'mal_id': 58403, 'url': 'https://myanimelist.net/people/58403/Yong_Yea', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/69633.jpg?s=218c0c027c74b9d19ec6f04c8f0c92b3'}}, 'name': 'Yea, Yong'}, 'language': 'English'}, {'person': {'mal_id': 46524, 'url': 'https://myanimelist.net/people/46524/Nils_Nellessen', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/50139.jpg?s=882770f86bb27a1ba550964486c5feca'}}, 'name': 'Nellessen, Nils'}, 'language': 'German'}]",17676,https://myanimelist.net/character/17676/Enrico_Pucci,https://cdn.myanimelist.net/images/characters/8/390366.jpg?s=ecc797c14fa58fd4f6bd3e07ded896b4,https://cdn.myanimelist.net/images/characters/8/390366.webp?s=ecc797c14fa58fd4f6bd3e07ded896b4,https://cdn.myanimelist.net/images/characters/8/390366t.webp?s=ecc797c14fa58fd4f6bd3e07ded896b4,"Pucci, Enrico"
Main,1224,"[{'person': {'mal_id': 34209, 'url': 'https://myanimelist.net/people/34209/Yuuichirou_Umehara', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/60856.jpg?s=77fd5f00f80565da98d5c6c848102e98'}}, 'name': 'Umehara, Yuuichirou'}, 'language': 'Japanese'}, {'person': {'mal_id': 55996, 'url': 'https://myanimelist.net/people/55996/Anatole_de_Bodinat', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/66288.jpg?s=ec394c8e1f2b9e38bc390343adab2207'}}, 'name': 'de Bodinat, Anatole'}, 'language': 'French'}, {'person': {'mal_id': 44495, 'url': 'https://myanimelist.net/people/44495/Stephen_Fu', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/76269.jpg?s=dcd5d5d96ab5a088503bb0abbbcf52f9'}}, 'name': 'Fu, Stephen'}, 'language': 'English'}, {'person': {'mal_id': 1289, 'url': 'https://myanimelist.net/people/1289/Claudio_Moneta', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/37157.jpg?s=37ac121dd5f6b4265263f43015e3be40'}}, 'name': 'Moneta, Claudio'}, 'language': 'Italian'}, {'person': {'mal_id': 20476, 'url': 'https://myanimelist.net/people/20476/Eduard_Itchart', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/42506.jpg?s=9d1400815c228ba2b54ed6a4eb738be3'}}, 'name': 'Itchart, Eduard'}, 'language': 'Spanish'}, {'person': {'mal_id': 21467, 'url': 'https://myanimelist.net/people/21467/Gabriel_Noya', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/68353.jpg?s=568620f323c9d5e83438a6343c9765c0'}}, 'name': 'Noya, Gabriel'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 16673, 'url': 'https://myanimelist.net/people/16673/Manuel_Campuzano', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/86309.jpg?s=5a323b8665bd862d208ef90f24cf9587'}}, 'name': 'Campuzano, Manuel'}, 'language': 'Spanish'}]",17675,https://myanimelist.net/character/17675/Weather_Report,https://cdn.myanimelist.net/images/characters/15/495419.jpg?s=2a5a9547e527465515ca19cdf4ef2cdd,https://cdn.myanimelist.net/images/characters/15/495419.webp?s=2a5a9547e527465515ca19cdf4ef2cdd,https://cdn.myanimelist.net/images/characters/15/495419t.webp?s=2a5a9547e527465515ca19cdf4ef2cdd,Weather Report
Supporting,9,"[{'person': {'mal_id': 56123, 'url': 'https://myanimelist.net/people/56123/Gilduin_Tissier', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/66640.jpg?s=56ba269dc16ad1da2efcca9fffc37339'}}, 'name': 'Tissier, Gilduin'}, 'language': 'French'}, {'person': {'mal_id': 379, 'url': 'https://myanimelist.net/people/379/David_Matranga', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/86130.jpg?s=0e7fbc8b9c1d2307b9f550ebc222c04e'}}, 'name': 'Matranga, David'}, 'language': 'English'}, {'person': {'mal_id': 20082, 'url': 'https://myanimelist.net/people/20082/Ruggero_Andreozzi', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/32519.jpg?s=a6ed270fac2dff8217ad658f8b3aaf26'}}, 'name': 'Andreozzi, Ruggero'}, 'language': 'Italian'}, {'person': {'mal_id': 245, 'url': 'https://myanimelist.net/people/245/Satoshi_Hino', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/62832.jpg?s=25d1f3f058ad0e1cf56615b5130ca712'}}, 'name': 'Hino, Satoshi'}, 'language': 'Japanese'}, {'person': {'mal_id': 52926, 'url': 'https://myanimelist.net/people/52926/Fernando_Lopes', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/75490.jpg?s=708317b938cce434a71c81ff68faf8c9'}}, 'name': 'Lopes, Fernando'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 56687, 'url': 'https://myanimelist.net/people/56687/Juan_Carlos_Tinoco', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/70684.jpg?s=c8b7976c67c7b7b16820abf667e21603'}}, 'name': 'Tinoco, Juan Carlos'}, 'language': 'Spanish'}, {'person': {'mal_id': 81820, 'url': 'https://myanimelist.net/people/81820/Ferran_Carnicero', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/85881.jpg?s=f59ef64a12ddfa9eb7a5c16229ec4a02'}}, 'name': 'Carnicero, Ferran'}, 'language': 'Spanish'}]",112515,https://myanimelist.net/character/112515/Johngalli_A,https://cdn.myanimelist.net/images/characters/14/463477.jpg?s=0ba34ca24a2a3800781f1e59e8f2d048,https://cdn.myanimelist.net/images/characters/14/463477.webp?s=0ba34ca24a2a3800781f1e59e8f2d048,https://cdn.myanimelist.net/images/characters/14/463477t.webp?s=0ba34ca24a2a3800781f1e59e8f2d048,"A, Johngalli"
Supporting,733,"[{'person': {'mal_id': 87, 'url': 'https://myanimelist.net/people/87/Daisuke_Namikawa', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/87158.jpg?s=67279e909d79ec86b941f464347abf0c'}}, 'name': 'Namikawa, Daisuke'}, 'language': 'Japanese'}, {'person': {'mal_id': 43095, 'url': 'https://myanimelist.net/people/43095/Howard_Wang', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/50057.jpg?s=56cb349cd63bff3b68c6d32eeedf25e6'}}, 'name': 'Wang, Howard'}, 'language': 'English'}, {'person': {'mal_id': 62284, 'url': 'https://myanimelist.net/people/62284/Mario_Bastelica', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/72771.jpg?s=5916f991f9086dd72a5078f57c5aa5e3'}}, 'name': 'Bastelica, Mario'}, 'language': 'French'}]",24327,https://myanimelist.net/character/24327/Narciso_Anasui,https://cdn.myanimelist.net/images/characters/5/512178.jpg?s=8c37de0c24979cf3cf49407b334cdffa,https://cdn.myanimelist.net/images/characters/5/512178.webp?s=8c37de0c24979cf3cf49407b334cdffa,https://cdn.myanimelist.net/images/characters/5/512178t.webp?s=8c37de0c24979cf3cf49407b334cdffa,"Anasui, Narciso"
Supporting,16287,"[{'person': {'mal_id': 340, 'url': 'https://myanimelist.net/people/340/Patrick_Seitz', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/37829.jpg?s=9a681df1139a4090bec290f8010d76e7'}}, 'name': 'Seitz, Patrick'}, 'language': 'English'}, {'person': {'mal_id': 43800, 'url': 'https://myanimelist.net/people/43800/Francisco_Júnior', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/75752.jpg?s=e8ea53371e7dfda0a2163edd6d9c6f86'}}, 'name': 'Júnior, Francisco'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 56366, 'url': 'https://myanimelist.net/people/56366/Giuseppe_Russo', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/69937.jpg?s=f9f6689ae22527a692e5ef8883005ca2'}}, 'name': 'Russo, Giuseppe'}, 'language': 'Italian'}, {'person': {'mal_id': 160, 'url': 'https://myanimelist.net/people/160/Takehito_Koyasu', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/63375.jpg?s=76b093ad00fbab48b06778a3da3ec0b1'}}, 'name': 'Koyasu, Takehito'}, 'language': 'Japanese'}, {'person': {'mal_id': 46054, 'url': 'https://myanimelist.net/people/46054/Carlos_Sianes', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/49503.jpg?s=e1e3df1596ba93e591f4f896e0fcf74c'}}, 'name': 'Sianes, Carlos'}, 'language': 'Spanish'}, {'person': {'mal_id': 40188, 'url': 'https://myanimelist.net/people/40188/Marios_Gavrilis', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/71352.jpg?s=717c7e1418c5d528837f5ba6845bf4f4'}}, 'name': 'Gavrilis, Marios'}, 'language': 'German'}, {'person': {'mal_id': 74163, 'url': 'https://myanimelist.net/people/74163/Vincent_Bonnasseau', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/80325.jpg?s=38a51f747e019c311bee0099ac6902c1'}}, 'name': 'Bonnasseau, Vincent'}, 'language': 'French'}]",4004,https://myanimelist.net/character/4004/Dio_Brando,https://cdn.myanimelist.net/images/characters/8/330539.jpg?s=2e40251bbb48a09a41d2c89016da80f4,https://cdn.myanimelist.net/images/characters/8/330539.webp?s=2e40251bbb48a09a41d2c89016da80f4,https://cdn.myanimelist.net/images/characters/8/330539t.webp?s=2e40251bbb48a09a41d2c89016da80f4,"Brando, Dio"
Supporting,20,"[{'person': {'mal_id': 36895, 'url': 'https://myanimelist.net/people/36895/Amber_Lee_Connors', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/43584.jpg?s=b8b544d55e4b78efbee085785a2eb3dd'}}, 'name': 'Connors, Amber Lee'}, 'language': 'English'}, {'person': {'mal_id': 48140, 'url': 'https://myanimelist.net/people/48140/Momoko_Taneichi', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/53197.jpg?s=4337da9bd8a7ce7cd222ec18381d68a9'}}, 'name': 'Taneichi, Momoko'}, 'language': 'Japanese'}, {'person': {'mal_id': 11403, 'url': 'https://myanimelist.net/people/11403/Flora_Paulita', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/69924.jpg?s=3beaf1bce9580137c405bfe60ccc93bc'}}, 'name': 'Paulita, Flora'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 57183, 'url': 'https://myanimelist.net/people/57183/Valca_Ponzanelli', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/73328.jpg?s=efc4a5f41830a7a5dbc39d8b34d8165f'}}, 'name': 'Ponzanelli, Valca'}, 'language': 'Spanish'}, {'person': {'mal_id': 58050, 'url': 'https://myanimelist.net/people/58050/Vanessa_Lonardelli', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/questionmark_23.gif?s=f7dcbc4a4603d18356d3dfef8abd655c'}}, 'name': 'Lonardelli, Vanessa'}, 'language': 'Italian'}, {'person': {'mal_id': 7705, 'url': 'https://myanimelist.net/people/7705/Birte_Baumgardt', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/6527.jpg?s=2c61ef0b043645a53c73a9b866454eaa'}}, 'name': 'Baumgardt, Birte'}, 'language': 'German'}, {'person': {'mal_id': 80374, 'url': 'https://myanimelist.net/people/80374/Pamela_Ravassard', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/83060.jpg?s=b493ebcc5ee29f1b79f9ecf84e44fdf8'}}, 'name': 'Ravassard, Pamela'}, 'language': 'French'}]",94913,https://myanimelist.net/character/94913/Gwess,https://cdn.myanimelist.net/images/characters/11/463476.jpg?s=5c69e6aa789be35686fc524cf7fc9a80,https://cdn.myanimelist.net/images/characters/11/463476.webp?s=5c69e6aa789be35686fc524cf7fc9a80,https://cdn.myanimelist.net/images/characters/11/463476t.webp?s=5c69e6aa789be35686fc524cf7fc9a80,Gwess
