role,favorites,voice_actors,character.mal_id,character.url,character.images.jpg.image_url,character.images.webp.image_url,character.images.webp.small_image_url,character.name
Main,16284,"[{'person': {'mal_id': 160, 'url': 'https://myanimelist.net/people/160/Takehito_Koyasu', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/63375.jpg?s=76b093ad00fbab48b06778a3da3ec0b1'}}, 'name': 'Koyasu, Takehito'}, 'language': 'Japanese'}, {'person': {'mal_id': 340, 'url': 'https://myanimelist.net/people/340/Patrick_Seitz', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/37829.jpg?s=9a681df1139a4090bec290f8010d76e7'}}, 'name': 'Seitz, Patrick'}, 'language': 'English'}, {'person': {'mal_id': 46054, 'url': 'https://myanimelist.net/people/46054/Carlos_Sianes', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/49503.jpg?s=e1e3df1596ba93e591f4f896e0fcf74c'}}, 'name': 'Sianes, Carlos'}, 'language': 'Spanish'}, {'person': {'mal_id': 43800, 'url': 'https://myanimelist.net/people/43800/Francisco_Júnior', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/75752.jpg?s=e8ea53371e7dfda0a2163edd6d9c6f86'}}, 'name': 'Júnior, Francisco'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 57209, 'url': 'https://myanimelist.net/people/57209/Marc_Winslow', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/73447.jpg?s=3c29c0e94b5fde9a51b5671903bc1e2d'}}, 'name': 'Winslow, Marc'}, 'language': 'Spanish'}, {'person': {'mal_id': 40188, 'url': 'https://myanimelist.net/people/40188/Marios_Gavrilis', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/71352.jpg?s=717c7e1418c5d528837f5ba6845bf4f4'}}, 'name': 'Gavrilis, Marios'}, 'language': 'German'}, {'person': {'mal_id': 74163, 'url': 'https://myanimelist.net/people/74163/Vincent_Bonnasseau', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/80325.jpg?s=38a51f747e019c311bee0099ac6902c1'}}, 'name': 'Bonnasseau, Vincent'}, 'language': 'French'}, {'person': {'mal_id': 7728, 'url': 'https://myanimelist.net/people/7728/Maurizio_Merluzzo', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/38427.jpg?s=8761e8af68e907913b9171249ac82834'}}, 'name': 'Merluzzo, Maurizio'}, 'language': 'Italian'}]",4004,https://myanimelist.net/character/4004/Dio_Brando,https://cdn.myanimelist.net/images/characters/8/330539.jpg?s=2e40251bbb48a09a41d2c89016da80f4,https://cdn.myanimelist.net/images/characters/8/330539.webp?s=2e40251bbb48a09a41d2c89016da80f4,https://cdn.myanimelist.net/images/characters/8/330539t.webp?s=2e40251bbb48a09a41d2c89016da80f4,"Brando, Dio"
Main,3524,"[{'person': {'mal_id': 10, 'url': 'https://myanimelist.net/people/10/Johnny_Yong_Bosch', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/68487.jpg?s=969ff401e5da5e12a758f04dcb653b33'}}, 'name': 'Bosch, Johnny Yong'}, 'language': 'English'}, {'person': {'mal_id': 7288, 'url': 'https://myanimelist.net/people/7288/Kazuyuki_Okitsu', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/68368.jpg?s=55e83b7c7cdabae10d0b60f0ffd19a03'}}, 'name': 'Okitsu, Kazuyuki'}, 'language': 'Japanese'}, {'person': {'mal_id': 46030, 'url': 'https://myanimelist.net/people/46030/Sergio_Mesa', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/56036.jpg?s=c84c38cacac57275d0d468fd4b2b3de3'}}, 'name': 'Mesa, Sergio'}, 'language': 'Spanish'}, {'person': {'mal_id': 55500, 'url': 'https://myanimelist.net/people/55500/Simon_Herlin', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/70536.jpg?s=4947229bdc80187fab0874aa0fa6a58e'}}, 'name': 'Herlin, Simon'}, 'language': 'French'}, {'person': {'mal_id': 1830, 'url': 'https://myanimelist.net/people/1830/Wendel_Bezerra', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/75915.jpg?s=316e3918010e01a30c5754942cde27b9'}}, 'name': 'Bezerra, Wendel'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 11537, 'url': 'https://myanimelist.net/people/11537/Ricardo_Bautista', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/10606.jpg?s=a5628432c1f561a1872e267f01337e05'}}, 'name': 'Bautista, Ricardo'}, 'language': 'Spanish'}, {'person': {'mal_id': 50025, 'url': 'https://myanimelist.net/people/50025/Vincent_Fallow', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/57711.jpg?s=d82427c847d49a251524d6c2abdd4d18'}}, 'name': 'Fallow, Vincent'}, 'language': 'German'}, {'person': {'mal_id': 42636, 'url': 'https://myanimelist.net/people/42636/Jacopo_Calatroni', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/70324.jpg?s=3f123300a3e33c79d4adc3c9e50cdeda'}}, 'name': 'Calatroni, Jacopo'}, 'language': 'Italian'}]",8087,https://myanimelist.net/character/8087/Jonathan_Joestar,https://cdn.myanimelist.net/images/characters/10/182715.jpg?s=d87c934286168a792851f4c46effc8e5,https://cdn.myanimelist.net/images/characters/10/182715.webp?s=d87c934286168a792851f4c46effc8e5,https://cdn.myanimelist.net/images/characters/10/182715t.webp?s=d87c934286168a792851f4c46effc8e5,"Joestar, Jonathan"
Main,43196,"[{'person': {'mal_id': 2, 'url': 'https://myanimelist.net/people/2/Tomokazu_Sugita', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/81054.jpg?s=b097749c915d7b524a6aab22bdace0e7'}}, 'name': 'Sugita, Tomokazu'}, 'language': 'Japanese'}, {'person': {'mal_id': 1085, 'url': 'https://myanimelist.net/people/1085/Benjamin_Diskin', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/6315.jpg?s=5b77b6c2de0f42137a115b6347508777'}}, 'name': 'Diskin, Benjamin'}, 'language': 'English'}, {'person': {'mal_id': 37886, 'url': 'https://myanimelist.net/people/37886/Jordi_Navarro', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/40056.jpg?s=97777b2c719ea23c4c039d96fd4441f3'}}, 'name': 'Navarro, Jordi'}, 'language': 'Spanish'}, {'person': {'mal_id': 37669, 'url': 'https://myanimelist.net/people/37669/Mauro_Ramos', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/67282.jpg?s=f59b5a3404f5565c5087a6f61d8b0ea4'}}, 'name': 'Ramos, Mauro'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 1099, 'url': 'https://myanimelist.net/people/1099/Guilherme_Briggs', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/69664.jpg?s=40a7b4dcd66a571b035116ff06534961'}}, 'name': 'Briggs, Guilherme'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 9868, 'url': 'https://myanimelist.net/people/9868/Frédéric_Souterelle', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/80206.jpg?s=5901bd7c288cca4d75509586cced82e8'}}, 'name': 'Souterelle, Frédéric'}, 'language': 'French'}, {'person': {'mal_id': 57313, 'url': 'https://myanimelist.net/people/57313/Miguel_de_León', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/70680.jpg?s=a19892efbf1bb59344aedc0fe98e372b'}}, 'name': 'de León, Miguel'}, 'language': 'Spanish'}, {'person': {'mal_id': 60095, 'url': 'https://myanimelist.net/people/60095/Sébastien_Baulain', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/71716.jpg?s=d094007724192fe553008206e0809451'}}, 'name': 'Baulain, Sébastien'}, 'language': 'French'}, {'person': {'mal_id': 352, 'url': 'https://myanimelist.net/people/352/Richard_Epcar', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/34985.jpg?s=70b699b79f13cf070f6bcab3d8c3bd4d'}}, 'name': 'Epcar, Richard'}, 'language': 'English'}, {'person': {'mal_id': 5118, 'url': 'https://myanimelist.net/people/5118/Leonhard_Mahlich', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/48980.jpg?s=25136245a365c1e4535615b2fd433fe1'}}, 'name': 'Mahlich, Leonhard'}, 'language': 'German'}, {'person': {'mal_id': 20336, 'url': 'https://myanimelist.net/people/20336/Ramón_Rocabayera', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/83020.jpg?s=2b1da872087861c4f6c826d19438586f'}}, 'name': 'Rocabayera, Ramón'}, 'language': 'Spanish'}, {'person': {'mal_id': 30133, 'url': 'https://myanimelist.net/people/30133/Dimitri_Winter', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/60795.jpg?s=942b93d7669e10fb7fd01f30aecb6992'}}, 'name': 'Winter, Dimitri'}, 'language': 'Italian'}]",6356,https://myanimelist.net/character/6356/Joseph_Joestar,https://cdn.myanimelist.net/images/characters/7/316615.jpg?s=c52eb11c56af357b8775e288bd5bd13e,https://cdn.myanimelist.net/images/characters/7/316615.webp?s=c52eb11c56af357b8775e288bd5bd13e,https://cdn.myanimelist.net/images/characters/7/316615t.webp?s=c52eb11c56af357b8775e288bd5bd13e,"Joestar, Joseph"
Main,531,"[{'person': {'mal_id': 21, 'url': 'https://myanimelist.net/people/21/Kazuhiko_Inoue', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/68015.jpg?s=adc8a9f5e0fde931daabdea9a3c636e3'}}, 'name': 'Inoue, Kazuhiko'}, 'language': 'Japanese'}, {'person': {'mal_id': 956, 'url': 'https://myanimelist.net/people/956/John_DeMita', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/41723.jpg?s=97ea2087cd6b2340d1b8fb506836912f'}}, 'name': 'DeMita, John'}, 'language': 'English'}, {'person': {'mal_id': 24239, 'url': 'https://myanimelist.net/people/24239/Emmanuel_Gradi', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/67038.jpg?s=5c38d912f6660c2e102d3523104b5cea'}}, 'name': 'Gradi, Emmanuel'}, 'language': 'French'}, {'person': {'mal_id': 25653, 'url': 'https://myanimelist.net/people/25653/Felipe_Grinnan', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/67076.jpg?s=c084c71363995383e5553ca6b31dfc54'}}, 'name': 'Grinnan, Felipe'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 57324, 'url': 'https://myanimelist.net/people/57324/Jorge_Badillo_Galván', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/68432.jpg?s=b7e9874fc65bf6c96b645666afb90f92'}}, 'name': 'Badillo Galván, Jorge'}, 'language': 'Spanish'}, {'person': {'mal_id': 1239, 'url': 'https://myanimelist.net/people/1239/Lorenzo_Scattorin', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/22542.jpg?s=3b0eabce8d96b4a4ab0f772f70bc3aea'}}, 'name': 'Scattorin, Lorenzo'}, 'language': 'Italian'}]",21966,https://myanimelist.net/character/21966/Kars,https://cdn.myanimelist.net/images/characters/4/252857.jpg?s=12aa3aac6415e55c4c44cd6a1e50ab0f,https://cdn.myanimelist.net/images/characters/4/252857.webp?s=12aa3aac6415e55c4c44cd6a1e50ab0f,https://cdn.myanimelist.net/images/characters/4/252857t.webp?s=12aa3aac6415e55c4c44cd6a1e50ab0f,Kars
Main,504,"[{'person': {'mal_id': 36, 'url': 'https://myanimelist.net/people/36/Wendee_Lee', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/35525.jpg?s=56430e22aa50b74003bd1377fcefec57'}}, 'name': 'Lee, Wendee'}, 'language': 'English'}, {'person': {'mal_id': 100, 'url': 'https://myanimelist.net/people/100/Atsuko_Tanaka', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/63410.jpg?s=927ed8fd86f14dd4f27a71908442e04d'}}, 'name': 'Tanaka, Atsuko'}, 'language': 'Japanese'}, {'person': {'mal_id': 46860, 'url': 'https://myanimelist.net/people/46860/Ana_Romano', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/50684.jpg?s=d7b7020e201c771e4c7b3e475144c290'}}, 'name': 'Romano, Ana'}, 'language': 'Spanish'}, {'person': {'mal_id': 26965, 'url': 'https://myanimelist.net/people/26965/Sophie_Planet', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/69936.jpg?s=0660aa0968144f3d6c92f6cbadf08860'}}, 'name': 'Planet, Sophie'}, 'language': 'French'}, {'person': {'mal_id': 11453, 'url': 'https://myanimelist.net/people/11453/Raquel_Marinho', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/34425.jpg?s=d302b6ddb0749ece96164ee6b2800582'}}, 'name': 'Marinho, Raquel'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 57314, 'url': 'https://myanimelist.net/people/57314/Vianney_Monroy', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/70991.jpg?s=8ea5ab7d50345f3b639491bee2824a74'}}, 'name': 'Monroy, Vianney'}, 'language': 'Spanish'}, {'person': {'mal_id': 14569, 'url': 'https://myanimelist.net/people/14569/Gea_Riva', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/15029.jpg?s=0610753eb20a44a2f7def8cbed32c4fa'}}, 'name': 'Riva, Gea'}, 'language': 'Italian'}]",21960,https://myanimelist.net/character/21960/Lisa_Lisa,https://cdn.myanimelist.net/images/characters/6/196391.jpg?s=d4ae9b7d78b30c4d6031d04e0a99c941,https://cdn.myanimelist.net/images/characters/6/196391.webp?s=d4ae9b7d78b30c4d6031d04e0a99c941,https://cdn.myanimelist.net/images/characters/6/196391t.webp?s=d4ae9b7d78b30c4d6031d04e0a99c941,Lisa Lisa
Main,4270,"[{'person': {'mal_id': 926, 'url': 'https://myanimelist.net/people/926/Youji_Ueda', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/56371.jpg?s=6d26b5c37d25e31c7b1336c9e6303c40'}}, 'name': 'Ueda, Youji'}, 'language': 'Japanese'}, {'person': {'mal_id': 5476, 'url': 'https://myanimelist.net/people/5476/Keith_Silverstein', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/33313.jpg?s=8eb9115d313847bc69eeee18fd673403'}}, 'name': 'Silverstein, Keith'}, 'language': 'English'}, {'person': {'mal_id': 26651, 'url': 'https://myanimelist.net/people/26651/Patrick_Noérie', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/66058.jpg?s=77966a5b47b647e5ee4709557b5dbd2c'}}, 'name': 'Noérie, Patrick'}, 'language': 'French'}, {'person': {'mal_id': 12217, 'url': 'https://myanimelist.net/people/12217/Silvio_Giraldi', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/79462.jpg?s=c925d7319b858ff5fdcd4a802e87e48b'}}, 'name': 'Giraldi, Silvio'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 45654, 'url': 'https://myanimelist.net/people/45654/Víctor_Ruiz', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/66193.jpg?s=3374c4d0ef0fbcb56d4c47b3b0f988f2'}}, 'name': 'Ruiz, Víctor'}, 'language': 'Spanish'}, {'person': {'mal_id': 31593, 'url': 'https://myanimelist.net/people/31593/Laurent_Sao', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/36911.jpg?s=8bd5a15dcdcaa646cf1eaa45eff38597'}}, 'name': 'Sao, Laurent'}, 'language': 'French'}, {'person': {'mal_id': 52912, 'url': 'https://myanimelist.net/people/52912/Ángel_del_Río', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/62448.jpg?s=f8810d54ebc89103238915ea5a6773b6'}}, 'name': 'del Río, Ángel'}, 'language': 'Spanish'}, {'person': {'mal_id': 40196, 'url': 'https://myanimelist.net/people/40196/Johannes_Berenz', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/41154.jpg?s=5dd1fcf1ca36d451ff67076589af7ee2'}}, 'name': 'Berenz, Johannes'}, 'language': 'German'}, {'person': {'mal_id': 1087, 'url': 'https://myanimelist.net/people/1087/Gianluca_Iacono', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/37125.jpg?s=3a1e02f697e98262309bca2797d0575e'}}, 'name': 'Iacono, Gianluca'}, 'language': 'Italian'}]",21938,https://myanimelist.net/character/21938/Robert_E_O_Speedwagon,https://cdn.myanimelist.net/images/characters/7/196031.jpg?s=fa364d3f051a2a73e4c7c4726182a687,https://cdn.myanimelist.net/images/characters/7/196031.webp?s=fa364d3f051a2a73e4c7c4726182a687,https://cdn.myanimelist.net/images/characters/7/196031t.webp?s=fa364d3f051a2a73e4c7c4726182a687,"Speedwagon, Robert E. O."
Main,291,"[{'person': {'mal_id': 1506, 'url': 'https://myanimelist.net/people/1506/Yoku_Shioya', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/49815.jpg?s=c820379e9b8cd6b66cd4cf4fa8ce43f2'}}, 'name': 'Shioya, Yoku'}, 'language': 'Japanese'}, {'person': {'mal_id': 6962, 'url': 'https://myanimelist.net/people/6962/Joe_Ochman', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/40653.jpg?s=fde31a6af7c4df92e83525dd7f28efa1'}}, 'name': 'Ochman, Joe'}, 'language': 'English'}, {'person': {'mal_id': 36971, 'url': 'https://myanimelist.net/people/36971/Vincent_Violette', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/69793.jpg?s=574fc3fa109a415053c33bf4a15d3a38'}}, 'name': 'Violette, Vincent'}, 'language': 'French'}, {'person': {'mal_id': 25651, 'url': 'https://myanimelist.net/people/25651/Marcelo_Pissardini', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/64737.jpg?s=c0461c0a834ba255992d706b4d393dac'}}, 'name': 'Pissardini, Marcelo'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 57407, 'url': 'https://myanimelist.net/people/57407/César_Garduza', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/68768.jpg?s=e1ddcd3f393481d79ef2d06aed3ed387'}}, 'name': 'Garduza, César'}, 'language': 'Spanish'}, {'person': {'mal_id': 1267, 'url': 'https://myanimelist.net/people/1267/Luigi_Rosa', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/1263.jpg?s=fe422e26f09683bf7b55e4611d5f242d'}}, 'name': 'Rosa, Luigi'}, 'language': 'Italian'}, {'person': {'mal_id': 86292, 'url': 'https://myanimelist.net/people/86292/Jordi_Pineda', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/85901.jpg?s=107b768c95e2a2bbd5000921c72ab75d'}}, 'name': 'Pineda, Jordi'}, 'language': 'Spanish'}]",18062,https://myanimelist.net/character/18062/Will_A_Zeppeli,https://cdn.myanimelist.net/images/characters/15/275118.jpg?s=9f95016c3c4ef0ea7968c6917bc21064,https://cdn.myanimelist.net/images/characters/15/275118.webp?s=9f95016c3c4ef0ea7968c6917bc21064,https://cdn.myanimelist.net/images/characters/15/275118t.webp?s=9f95016c3c4ef0ea7968c6917bc21064,"Zeppeli, Will A."
Main,1859,"[{'person': {'mal_id': 732, 'url': 'https://myanimelist.net/people/732/Bryce_Papenbrook', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/29853.jpg?s=c0dded60545804ead1a1300c69236bce'}}, 'name': 'Papenbrook, Bryce'}, 'language': 'English'}, {'person': {'mal_id': 9580, 'url': 'https://myanimelist.net/people/9580/Takuya_Satou', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/71349.jpg?s=79cd90b8ff2a376e8db59b5c0176397e'}}, 'name': 'Satou, Takuya'}, 'language': 'Japanese'}, {'person': {'mal_id': 43693, 'url': 'https://myanimelist.net/people/43693/Dláigelles_Silva', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/77324.jpg?s=7cb24b19355ebfa289d06498f9711fb6'}}, 'name': 'Silva, Dláigelles'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 21355, 'url': 'https://myanimelist.net/people/21355/Carlo_Vázquez', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/73460.jpg?s=c594a7171ff6ad7260778482fe685cd5'}}, 'name': 'Vázquez, Carlo'}, 'language': 'Spanish'}, {'person': {'mal_id': 57105, 'url': 'https://myanimelist.net/people/57105/Julien_Lucas', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/68185.jpg?s=ace577d7fca159d8707bd459bd75ef5f'}}, 'name': 'Lucas, Julien'}, 'language': 'French'}, {'person': {'mal_id': 80300, 'url': 'https://myanimelist.net/people/80300/Genes_Alonso', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/84847.jpg?s=89b14f3cdf28e21e5fd5358e88d3bb83'}}, 'name': 'Alonso, Genes'}, 'language': 'Spanish'}, {'person': {'mal_id': 37631, 'url': 'https://myanimelist.net/people/37631/Federico_Viola', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/39789.jpg?s=91111ae458f3bbb5aa66d02c77ca3f3b'}}, 'name': 'Viola, Federico'}, 'language': 'Italian'}]",21959,https://myanimelist.net/character/21959/Caesar_Anthonio_Zeppeli,https://cdn.myanimelist.net/images/characters/16/372612.jpg?s=2f2faeab6ed57598879fa6a5cb053481,https://cdn.myanimelist.net/images/characters/16/372612.webp?s=2f2faeab6ed57598879fa6a5cb053481,https://cdn.myanimelist.net/images/characters/16/372612t.webp?s=2f2faeab6ed57598879fa6a5cb053481,"Zeppeli, Caesar Anthonio"
Supporting,1,"[{'person': {'mal_id': 14489, 'url': 'https://myanimelist.net/people/14489/Dado_Monteiro', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/67939.jpg?s=2cfa56f530b2723234779ed9af28134b'}}, 'name': 'Monteiro, Dado'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 12039, 'url': 'https://myanimelist.net/people/12039/Hidenori_Takahashi', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/43050.jpg?s=a1ffebe1128b713a6ed9ac20afbc83d2'}}, 'name': 'Takahashi, Hidenori'}, 'language': 'Japanese'}, {'person': {'mal_id': 65679, 'url': 'https://myanimelist.net/people/65679/Anthony_Hansen', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/75228.jpg?s=a9dd367abe1d5890c4355771828c3cfd'}}, 'name': 'Hansen, Anthony'}, 'language': 'English'}]",227953,https://myanimelist.net/character/227953/Adams,https://cdn.myanimelist.net/images/characters/4/508944.jpg?s=1f7934a68ca0d801b8567bde36e917be,https://cdn.myanimelist.net/images/characters/4/508944.webp?s=1f7934a68ca0d801b8567bde36e917be,https://cdn.myanimelist.net/images/characters/4/508944t.webp?s=1f7934a68ca0d801b8567bde36e917be,Adams
Supporting,4,"[{'person': {'mal_id': 771, 'url': 'https://myanimelist.net/people/771/Tom_Fahn', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/39687.jpg?s=a65a8ef31eabce51b41e7d043904398e'}}, 'name': 'Fahn, Tom'}, 'language': 'English'}, {'person': {'mal_id': 5539, 'url': 'https://myanimelist.net/people/5539/Satoshi_Tsuruoka', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/1/71358.jpg?s=d389f62487297f90e2560e4ac994eea6'}}, 'name': 'Tsuruoka, Satoshi'}, 'language': 'Japanese'}, {'person': {'mal_id': 55446, 'url': 'https://myanimelist.net/people/55446/Marc_Saez', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/71367.jpg?s=7642f8d795ec054fdb95ff4da0e777f5'}}, 'name': 'Saez, Marc'}, 'language': 'French'}, {'person': {'mal_id': 43995, 'url': 'https://myanimelist.net/people/43995/Roberto_Rocha', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/80221.jpg?s=eb24fdea71ccea09ac6dc419178f9b74'}}, 'name': 'Rocha, Roberto'}, 'language': 'Portuguese (BR)'}, {'person': {'mal_id': 57323, 'url': 'https://myanimelist.net/people/57323/Mauricio_Pérez_Castillo', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/3/70978.jpg?s=660d4ade9e47505ec91dec2cece68412'}}, 'name': 'Pérez Castillo, Mauricio'}, 'language': 'Spanish'}, {'person': {'mal_id': 66256, 'url': 'https://myanimelist.net/people/66256/Daniel_Oliver', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/questionmark_23.gif?s=f7dcbc4a4603d18356d3dfef8abd655c'}}, 'name': 'Oliver, Daniel'}, 'language': 'Spanish'}, {'person': {'mal_id': 35543, 'url': 'https://myanimelist.net/people/35543/Luca_Ghignone', 'images': {'jpg': {'image_url': 'https://cdn.myanimelist.net/images/voiceactors/2/37203.jpg?s=b177a385f138fc3499d5f3fe188dde3d'}}, 'name': 'Ghignone, Luca'}, 'language': 'Italian'}]",94141,https://myanimelist.net/character/94141/Wired_Beck,https://cdn.myanimelist.net/images/characters/3/240659.jpg?s=cbf3da3b03efcacc1b46eb2da86d7376,https://cdn.myanimelist.net/images/characters/3/240659.webp?s=cbf3da3b03efcacc1b46eb2da86d7376,https://cdn.myanimelist.net/images/characters/3/240659t.webp?s=cbf3da3b03efcacc1b46eb2da86d7376,"Beck, Wired"
